sensor,raw
0,0
1,5
2,10
3,15
4,20
5,26
6,31
7,36
8,41
9,46
10,52
11,57
12,62
13,67
14,73
15,78
16,83
17,89
18,94
19,99
20,105
21,110
22,115
23,121
24,126
25,132
26,137
27,143
28,148
29,154
30,159
31,165
32,171
33,176
34,182
35,187
36,193
37,199
38,204
39,210
40,216
41,221
42,227
43,233
44,238
45,244
46,250
47,256
48,262
49,267
50,273
51,279
52,285
53,291
54,296
55,302
56,308
57,314
58,320
59,326
60,332
61,337
62,343
63,349
64,355
65,361
66,367
67,373
68,379
69,385
70,391
71,397
72,403
73,409
74,415
75,421
76,427
77,433
78,439
79,445
80,451
81,457
82,463
83,469
84,475
85,481
86,487
87,493
88,499
89,505
90,511
91,517
92,523
93,529
94,535
95,541
96,547
97,553
98,559
99,565
100,571
101,577
102,583
103,589
104,595
105,601
106,607
107,613
108,618
109,624
110,630
111,636
112,642
113,648
114,654
115,660
116,666
117,672
118,678
119,684
120,690
121,696
122,701
123,707
124,713
125,719
126,725
127,731
128,737
129,742
130,748
131,754
132,760
133,765
134,771
135,777
136,783
137,788
138,794
139,800
140,806
141,811
142,817
143,823
144,828
145,834
146,840
147,845
148,851
149,856
150,862
151,867
152,873
153,878
154,884
155,889
156,895
157,900
158,906
159,911
160,917
161,922
162,927
163,933
164,938
165,943
166,949
167,954
168,959
169,965
170,970
171,975
172,980
173,986
174,991
175,996
176,1001
177,1006
178,1011
179,1016
180,1021
